,population,life_expectancy,gnp,gnp_old
152,214000,72.8,3563.0,
153,10730000,41.3,1706.0,1580.0
154,2000,,0.0,
155,111506000,51.6,65707.0,58623.0
156,5074000,68.7,1988.0,2023.0
157,2000,,0.0,
158,15864000,78.3,371362.0,360478.0
159,4478500,78.7,145895.0,153370.0
160,23930000,57.8,4768.0,4837.0
161,12000,60.8,197.0,
162,3862000,77.8,54669.0,64960.0
163,2542000,71.8,16904.0,16153.0
164,156483000,61.1,61289.0,58549.0
165,2856000,75.5,9131.0,8700.0
166,50,,0.0,
167,25662000,70.0,64140.0,65186.0
168,75967000,67.5,65107.0,82239.0
169,19000,68.6,105.0,
170,4807000,63.1,4988.0,6328.0
171,38653600,73.2,151697.0,135636.0
172,3869000,75.6,34100.0,32100.0
173,24039000,70.7,5332.0,
174,9997600,75.8,105954.0,102133.0
175,5496000,73.7,8444.0,9555.0
176,3101000,71.4,4173.0,
177,235000,74.8,818.0,781.0
178,599000,72.4,9472.0,8920.0
179,699000,72.7,8287.0,7988.0
180,22455500,69.9,38158.0,34843.0
181,146934000,67.2,276608.0,442989.0
182,7733000,39.3,2036.0,1863.0
183,21607000,67.8,137635.0,146171.0
184,29490000,56.6,10162.0,
185,9481000,62.2,4787.0,4542.0
186,3567000,80.1,86503.0,96318.0
187,0,,0.0,
188,6000,76.8,0.0,
189,3200,,0.0,
190,444000,71.3,182.0,220.0
191,4854000,45.3,746.0,858.0
192,6276000,69.7,11863.0,11203.0
193,27000,81.1,510.0,
194,10097000,46.2,935.0,
195,7000,77.6,0.0,
196,147000,65.3,6.0,
197,417000,71.4,870.0,706.0
198,5398700,73.7,20594.0,19452.0
199,1987800,74.9,19756.0,18202.0
200,8861400,79.6,226492.0,227757.0
201,1008000,40.4,1206.0,1312.0
202,77000,70.4,536.0,539.0
203,16125000,68.5,65984.0,64926.0
204,17000,73.3,96.0,
205,7651000,50.5,1208.0,1102.0
206,4629000,54.7,1449.0,1400.0
207,61399000,68.6,116416.0,153907.0
208,6188000,64.1,1990.0,1056.0
209,2000,,0.0,
210,4459000,60.9,4397.0,2000.0
211,885000,46.0,0.0,
212,99000,67.9,146.0,170.0
213,1295000,68.0,6232.0,5867.0
214,9586000,73.7,20026.0,18898.0
215,66591000,71.0,210721.0,189122.0
216,12000,66.3,6.0,
217,22256000,76.4,256254.0,263451.0
218,33517000,52.3,8005.0,7388.0
219,21778000,42.9,6313.0,6887.0
220,50456000,66.0,42168.0,49677.0
221,0,,0.0,
222,3337000,75.2,20831.0,19967.0
223,278357000,77.1,8510700.0,8110900.0
224,24318000,63.7,14194.0,21300.0
225,1000,,9.0,
226,114000,72.3,285.0,
227,24170000,73.1,95023.0,88434.0
228,21000,75.4,612.0,573.0
229,93000,78.1,0.0,
230,79832000,69.3,21929.0,22834.0
231,190000,60.6,261.0,246.0
232,15000,,0.0,
233,180000,69.2,141.0,157.0
234,18112000,59.8,6041.0,5729.0
235,10640000,72.4,17000.0,
236,40377000,51.1,116729.0,129092.0
237,9169000,37.2,3377.0,3922.0
238,11669000,37.8,5951.0,8670.0
